,Lenovo Laptops
0,"Lenovo Ideapad S145 AMD Ryzen 3 3200U 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Platinum Grey/1.85Kg), 81UT00KWIN"
1,"Lenovo IdeaPad 5 AMD Ryzen 7 5700U 15.6"" FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 10/Office/AMD Radeon Graphics/Fingerprint Reader/Graphite Grey/Aluminium Surface/1.66Kg), 82LN00A3IN"
2,"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN"
3,Lenovo 82C700D4IH V15 ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ DOS/Integrated AMD Radeon Graphics/ Iron Grey)
4,"Lenovo ThinkPad E14 (2021) AMD Ryzen 5 4650U Pro 14-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.59 kg), 20T6S0UQ00"
5,"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Gold 3150U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey), 82C700JEIH"
6,"Lenovo Ideapad Slim 3 AMD Athlon Silver 3050U 15.6"" (39.62cms) (15.6"")HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W100HKIN"
7,"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 15.6-inch FHD IPS Gaming Laptop (16GB/512 SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6/Onyx Black/2.2Kg), 82EY00V1IN"
8,"Lenovo V145-AMD-A6 15.6"" (39.62cms) HD Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Black/ 2.1 kg), 81MT006YIH"
9,"(Renewed) Lenovo Yoga Slim 7 Intel i5 11th Gen 14"" FHD Thin and Light Laptop (16GB/512SSD/Win10 + Office Home/Intel Iris Xe Graphics/Slate Grey/1.36kg), 82A3009RIN"
10,"Lenovo Ideapad L340 Intel Core i5 9th Gen 15.6” FHD Gaming Laptop (8GB/1TB HDD/Windows 10/NVIDIA GeForce GTX 10503GB GDDR5/Granite Black/2.19kg),81LK01QTIN"
11,"Lenovo E41-45 (82BFS00200) Laptop (AMD A9/ 4GB RAM/ 1TB HDD/ DOS/ 14 Inch Screen),1 Year Warranty"
12,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6 inch Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81WE014JIN"
13,"Lenovo V145-AMD-A6 15.6 inch HD Laptop (4GB RAM/ 1TB HDD/ Windows 10 Home/ Black/ 2.1 kg), 81MTA000IH"
14,"Lenovo Ideapad Gaming 3 Intel Core i5 10th Gen 15.6 inch FHD Gaming Laptop (8GB/1TB+256GB SSD/Windows 10/Office/NVIDIA GTX 1650 4GB Graphics/Onyx Black/2.2Kg), 81Y400E1IN"
15,"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ DOS /Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700HXIH"
16,"Lenovo IdeaPad S145 10th Gen Intel Core i5 15.6 inch Full HD Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W800TFIN"
17,"Lenovo Ideapad S145 AMD A6-9225 15.6"" (39.62cms) HD Thin and Light Laptop (4GB/1TB/Windows 10/Grey/1.85Kg), 81N30063IN"
18,"Lenovo V15-ADA AMD RYZEN 3 3250U 15.6-inch HD Laptop (4GB/1TB/Windows 10/Iron Grey),82C700H3IH"
19,"Lenovo E41-45 (82BF000EIH) Laptop (AMD A6-7350B/ 4GB RAM/ 1TB HDD/ DOS/ 14 Inch Screen), 1 Year Warranty"
